control_id,mapping_status,mapping_confidence,automatic_edit,conversion_status,parameter_id,role,engine_slot,condition,transform,legacy,mapping_notes
analog.modulator.crossmod_source,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine1_CrossModSource,value,engine_1,,,false,Exact generic CrossModSource IDs exist for both engine slots; selector values still need calibration.
analog.modulator.crossmod_source,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine2_CrossModSource,value,engine_2,,,false,Exact generic CrossModSource IDs exist for both engine slots; selector values still need calibration.
analog.modulator.source_combination,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_ModMix,value,engine_1,,,false,
analog.modulator.source_combination,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_ModMix,value,engine_2,,,false,
analog.noise.color,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_NoiseType,value,engine_1,,,false,
analog.noise.color,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_NoiseType,value,engine_2,,,false,
analog.noise.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine1_VA3Osc_NoiseGain,value,engine_1,,,false,
analog.noise.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine2_VA3Osc_NoiseGain,value,engine_2,,,false,
analog.oscillator_1.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_VA3Osc_Osc1Range,value,engine_1,,,false,
analog.oscillator_1.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_VA3Osc_Osc1Range,value,engine_2,,,false,
analog.oscillator_1.fm_amount,ambiguous_shared_parameter_candidate,medium,false,control_relationship_needs_diff,Engine1_VA3Osc_FMGain,value,engine_1,,,false,The archive exposes one VA3Osc_FMGain plus Osc1FM/Osc2FM switches; a one-control preset pair is needed to confirm the visible amount relationship.
analog.oscillator_1.fm_amount,ambiguous_shared_parameter_candidate,medium,false,control_relationship_needs_diff,Engine2_VA3Osc_FMGain,value,engine_2,,,false,The archive exposes one VA3Osc_FMGain plus Osc1FM/Osc2FM switches; a one-control preset pair is needed to confirm the visible amount relationship.
